Ticket_ID,Subject,Description,Category,Priority,Timestamp
497,Feature Broken,Error message 'Timeout' appears when I try to sync data.,Bug Report,Low,2025-09-21 21:13:07.454948
498,Account Locked,My account is locked without reason.,Account Management,Medium,2025-06-18 18:02:07.454948
499,2FA Issue,I can't reset my password.,Account Management,Critical,2025-09-15 18:22:07.454948
500,UX Improvement,It would be great if we could sync data.,Feature Request,Medium,2025-05-06 14:02:07.454948
501,Feature Broken,App crashes when I click on Refresh.,Bug Report,Medium,2025-06-02 10:03:07.454948
502,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,High,2025-05-10 14:08:07.454948
503,Connection Failed,SSL certificate error on your domain.,Technical Issue,High,2025-07-14 04:14:07.454948
504,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,Critical,2025-08-24 23:45:07.454948
505,Refund Request,Refund request for unused service period.,Billing Inquiry,Medium,2025-08-11 08:26:07.454948
506,2FA Issue,Two-factor authentication not working.,Account Management,Medium,2025-06-13 03:56:07.454948
507,UX Improvement,Add export to PDF functionality.,Feature Request,Critical,2025-04-04 16:58:07.454948
508,Slow Performance,I can't connect to the cloud storage despite correct settings.,Technical Issue,High,2025-06-17 22:36:07.454948
509,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-06-22 14:57:07.454948
510,Feature Broken,The screen goes blank when I open billing.,Bug Report,Medium,2025-09-22 15:02:07.454948
511,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-05-04 14:21:07.454948
512,Password Reset,Email not updating in profile settings.,Account Management,Low,2025-06-30 10:07:07.454948
513,Login Error,App crashes when I click on Delete.,Bug Report,Medium,2025-09-12 23:59:07.454948
514,Slow Performance,SSL certificate error on your domain.,Technical Issue,High,2025-04-04 18:05:07.454948
515,App Crash,App crashes when I click on Delete.,Bug Report,Medium,2025-04-25 09:29:07.454948
516,Feature Broken,App crashes when I click on Submit.,Bug Report,High,2025-05-22 07:49:07.454948
517,2FA Issue,Email not updating in profile settings.,Account Management,High,2025-06-19 11:59:07.454948
518,UX Improvement,It would be great if we could log in.,Feature Request,High,2025-05-15 17:46:07.454948
519,Slow Performance,Server response time is too slow for login.,Technical Issue,Low,2025-06-02 18:17:07.454948
520,Connection Failed,Integration with Google Workspace is failing.,Technical Issue,High,2025-05-01 02:12:07.454948
521,UX Improvement,Can you add export to the dashboard?,Feature Request,High,2025-08-26 14:31:07.454948
522,Account Locked,How do I delete my account permanently?,Account Management,High,2025-08-07 13:48:07.454948
523,2FA Issue,My account is locked without reason.,Account Management,High,2025-07-26 14:19:07.454948
524,Double Charge,Refund request for unused service period.,Billing Inquiry,Medium,2025-04-18 00:36:07.454948
525,Feature Broken,Login fails even with correct credentials.,Bug Report,Medium,2025-07-31 08:59:07.454948
526,Connection Failed,API returns 500 error when calling /api/logs.,Technical Issue,High,2025-08-03 08:54:07.454948
527,2FA Issue,My account is locked without reason.,Account Management,Medium,2025-05-22 05:42:07.454948
528,Login Error,The screen goes blank when I open profile.,Bug Report,High,2025-06-13 15:02:07.454948
529,Password Reset,How do I delete my account permanently?,Account Management,High,2025-09-13 10:17:07.454948
530,Refund Request,Refund request for unused service period.,Billing Inquiry,High,2025-06-20 23:43:07.454948
531,Slow Performance,Server response time is too slow for search query.,Technical Issue,High,2025-05-05 08:38:07.454948
532,2FA Issue,Email not updating in profile settings.,Account Management,Critical,2025-08-17 11:51:07.454948
533,Refund Request,Refund request for unused service period.,Billing Inquiry,High,2025-09-14 13:38:07.454948
534,Password Reset,Two-factor authentication not working.,Account Management,Medium,2025-05-13 09:53:07.454948
535,Password Reset,Email not updating in profile settings.,Account Management,Medium,2025-08-27 23:27:07.454948
536,Slow Performance,Integration with Google Workspace is failing.,Technical Issue,Medium,2025-08-25 04:21:07.454948
537,Slow Performance,Server response time is too slow for login.,Technical Issue,Critical,2025-06-04 02:52:07.454948
538,Feature Broken,Error message 'Timeout' appears when I try to reset password.,Bug Report,Critical,2025-04-29 08:56:07.454948
539,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-07-13 14:38:07.454948
540,Login Error,App crashes when I click on Refresh.,Bug Report,High,2025-08-10 02:34:07.454948
541,Password Reset,I can't reset my password.,Account Management,Medium,2025-07-31 04:01:07.454948
542,Account Locked,Email not updating in profile settings.,Account Management,High,2025-09-26 05:13:07.454948
543,App Crash,App crashes when I click on Save.,Bug Report,Critical,2025-06-15 09:48:07.454948
544,Login Error,Error message 'Connection lost' appears when I try to sync data.,Bug Report,High,2025-07-24 22:59:07.454948
545,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Low,2025-06-07 02:17:07.454948
546,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,Critical,2025-04-09 16:06:07.454948
547,Refund Request,Refund request for unused service period.,Billing Inquiry,Critical,2025-07-18 02:57:07.454948
548,Connection Failed,I can't connect to the cloud storage despite correct settings.,Technical Issue,Medium,2025-09-17 06:16:07.454948
549,Account Locked,How do I delete my account permanently?,Account Management,High,2025-04-22 08:21:07.454948
550,Connection Failed,I can't connect to the cloud storage despite correct settings.,Technical Issue,Medium,2025-06-13 23:58:07.454948
551,Login Error,The screen goes blank when I open dashboard.,Bug Report,Medium,2025-06-28 21:34:07.454948
552,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,High,2025-07-26 00:57:07.454948
553,Invoice Question,How do I upgrade my billing plan?,Billing Inquiry,High,2025-05-08 21:21:07.454948
554,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,High,2025-07-25 01:35:07.454948
555,UX Improvement,Can you add dark mode to the dashboard?,Feature Request,Medium,2025-07-25 08:46:07.454948
556,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-04-12 19:41:07.454948
557,App Crash,The notifications is not working after the latest update.,Bug Report,High,2025-09-07 21:40:07.454948
558,Slow Performance,Integration with Zapier is failing.,Technical Issue,Medium,2025-05-01 12:11:07.454948
559,Account Locked,Two-factor authentication not working.,Account Management,High,2025-08-10 11:45:07.454948
560,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-05-18 04:13:07.454948
561,API Error,API returns 500 error when calling /api/payments.,Technical Issue,Critical,2025-06-08 08:25:07.454948
562,App Crash,App crashes when I click on Refresh.,Bug Report,Critical,2025-06-03 01:31:07.454948
563,Feature Broken,Login fails even with correct credentials.,Bug Report,High,2025-06-14 09:53:07.454948
564,App Crash,Login fails even with correct credentials.,Bug Report,Medium,2025-09-01 16:03:07.454948
565,API Error,API returns 500 error when calling /api/logs.,Technical Issue,Medium,2025-05-04 02:01:07.454948
566,New Feature Suggestion,It would be great if we could log in.,Feature Request,Critical,2025-07-26 02:27:07.454948
567,API Error,I can't connect to the database despite correct settings.,Technical Issue,High,2025-09-21 02:10:07.454948
568,Refund Request,I was charged twice for my subscription.,Billing Inquiry,High,2025-07-18 20:07:07.454948
569,Connection Failed,Server response time is too slow for data export.,Technical Issue,Medium,2025-05-15 03:11:07.454948
570,Account Locked,Two-factor authentication not working.,Account Management,Medium,2025-07-07 09:48:07.454948
571,Connection Failed,SSL certificate error on your domain.,Technical Issue,Medium,2025-08-12 16:23:07.454948
572,2FA Issue,My account is locked without reason.,Account Management,Medium,2025-08-30 09:59:07.454948
573,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Critical,2025-04-25 22:04:07.454948
574,New Feature Suggestion,Can you add export to the dashboard?,Feature Request,High,2025-06-21 02:37:07.454948
575,Invoice Question,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-08-25 12:21:07.454948
576,Feature Broken,Login fails even with correct credentials.,Bug Report,Low,2025-07-19 11:38:07.454948
577,UX Improvement,I suggest improving the user management for better usability.,Feature Request,Critical,2025-09-08 15:13:07.454948
578,Password Reset,Two-factor authentication not working.,Account Management,Medium,2025-05-21 18:39:07.454948
579,Refund Request,I was charged twice for my subscription.,Billing Inquiry,Critical,2025-04-07 04:18:07.454948
580,API Error,Server response time is too slow for file upload.,Technical Issue,High,2025-04-19 05:28:07.454948
581,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Low,2025-05-13 15:46:07.454948
582,Invoice Question,I was charged twice for my subscription.,Billing Inquiry,Low,2025-07-15 08:28:07.454948
583,Login Error,Login fails even with correct credentials.,Bug Report,Medium,2025-09-04 04:10:07.454948
584,Slow Performance,SSL certificate error on your domain.,Technical Issue,High,2025-09-06 11:38:07.454948
585,API Error,Server response time is too slow for file upload.,Technical Issue,Low,2025-08-28 13:47:07.454948
586,Feature Broken,Error message '404' appears when I try to log in.,Bug Report,Critical,2025-05-11 00:35:07.454948
587,Account Locked,I can't reset my password.,Account Management,Critical,2025-04-19 15:18:07.454948
588,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,Medium,2025-05-02 05:40:07.454948
589,Login Error,The search is not working after the latest update.,Bug Report,High,2025-07-21 07:16:07.454948
590,Slow Performance,I can't connect to the database despite correct settings.,Technical Issue,Medium,2025-08-18 03:17:07.454948
591,Invoice Question,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-07-24 18:16:07.454948
592,Login Error,Login fails even with correct credentials.,Bug Report,Medium,2025-06-16 15:09:07.454948
593,App Crash,App crashes when I click on Save.,Bug Report,High,2025-05-12 19:58:07.454948
594,Account Locked,I can't reset my password.,Account Management,Medium,2025-04-15 12:25:07.454948
595,Login Error,The notifications is not working after the latest update.,Bug Report,High,2025-07-15 19:07:07.454948
596,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Critical,2025-07-09 03:43:07.454948
597,Login Error,Login fails even with correct credentials.,Bug Report,High,2025-08-30 10:34:07.454948
598,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-08-03 03:02:07.454948
599,2FA Issue,Two-factor authentication not working.,Account Management,High,2025-09-26 05:09:07.454948
600,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-06-11 22:40:07.454948
601,Slow Performance,SSL certificate error on your domain.,Technical Issue,Medium,2025-06-15 14:39:07.454948
602,App Crash,Error message 'Connection lost' appears when I try to sync data.,Bug Report,High,2025-04-25 10:48:07.454948
603,Slow Performance,API returns 500 error when calling /api/payments.,Technical Issue,Medium,2025-04-05 01:51:07.454948
604,API Error,Integration with Zapier is failing.,Technical Issue,Medium,2025-05-04 00:16:07.454948
605,Password Reset,I can't reset my password.,Account Management,Critical,2025-08-02 10:00:07.454948
606,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-08-07 22:57:07.454948
607,Slow Performance,API returns 500 error when calling /api/users.,Technical Issue,Medium,2025-04-28 19:09:07.454948
608,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-06-14 09:04:07.454948
609,Connection Failed,SSL certificate error on your domain.,Technical Issue,Critical,2025-06-27 12:23:07.454948
610,Login Error,App crashes when I click on Refresh.,Bug Report,Low,2025-05-07 13:50:07.454948
611,App Crash,The search is not working after the latest update.,Bug Report,High,2025-08-14 09:43:07.454948
612,Feature Broken,Error message '404' appears when I try to log in.,Bug Report,High,2025-04-12 06:44:07.454948
613,Refund Request,I was charged twice for my subscription.,Billing Inquiry,Low,2025-07-20 17:38:07.454948
614,Slow Performance,API returns 500 error when calling /api/payments.,Technical Issue,Critical,2025-08-29 22:05:07.454948
615,API Error,API returns 500 error when calling /api/users.,Technical Issue,Critical,2025-06-13 02:16:07.454948
616,Feature Broken,Error message 'Connection lost' appears when I try to sync data.,Bug Report,Medium,2025-06-26 17:19:07.454948
617,UX Improvement,It would be great if we could reset password.,Feature Request,Low,2025-05-28 02:55:07.454948
618,Password Reset,Two-factor authentication not working.,Account Management,High,2025-05-18 12:00:07.454948
619,Double Charge,Refund request for unused service period.,Billing Inquiry,Critical,2025-08-27 11:09:07.454948
620,Account Locked,My account is locked without reason.,Account Management,Medium,2025-07-03 04:08:07.454948
621,Double Charge,I was charged twice for my subscription.,Billing Inquiry,High,2025-06-15 02:53:07.454948
622,New Feature Suggestion,I suggest improving the user management for better usability.,Feature Request,Medium,2025-05-27 11:50:07.454948
623,Account Locked,Email not updating in profile settings.,Account Management,Critical,2025-09-27 04:28:07.454948
624,UX Improvement,Add export to PDF functionality.,Feature Request,High,2025-06-18 06:35:07.454948
625,Password Reset,How do I delete my account permanently?,Account Management,Critical,2025-05-30 05:36:07.454948
626,UX Improvement,Can you add dark mode to the dashboard?,Feature Request,Medium,2025-04-07 20:17:07.454948
627,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Medium,2025-07-07 01:52:07.454948
628,Connection Failed,Server response time is too slow for search query.,Technical Issue,Low,2025-05-21 20:13:07.454948
629,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-06-07 05:13:07.454948
630,API Error,Server response time is too slow for file upload.,Technical Issue,Medium,2025-06-20 13:04:07.454948
631,New Feature Suggestion,Please consider adding dark mode support.,Feature Request,High,2025-05-21 13:28:07.454948
632,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-06-03 09:53:07.454948
633,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-08-24 07:20:07.454948
634,Slow Performance,I can't connect to the cloud storage despite correct settings.,Technical Issue,Medium,2025-04-08 07:19:07.454948
635,Account Locked,My account is locked without reason.,Account Management,Low,2025-04-29 17:27:07.454948
636,Connection Failed,SSL certificate error on your domain.,Technical Issue,High,2025-04-25 07:58:07.454948
637,2FA Issue,I can't reset my password.,Account Management,Low,2025-08-26 13:56:07.454948
638,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Low,2025-07-05 12:25:07.454948
639,Slow Performance,Integration with Zapier is failing.,Technical Issue,Medium,2025-09-23 18:31:07.454948
640,Connection Failed,Server response time is too slow for file upload.,Technical Issue,Medium,2025-06-24 14:56:07.454948
641,API Error,I can't connect to the cloud storage despite correct settings.,Technical Issue,High,2025-04-20 14:26:07.454948
642,Refund Request,I was charged twice for my subscription.,Billing Inquiry,High,2025-04-09 19:39:07.454948
643,UX Improvement,Please consider adding dark mode support.,Feature Request,Critical,2025-09-10 08:06:07.454948
644,UX Improvement,Add export to PDF functionality.,Feature Request,High,2025-06-27 05:39:07.454948
645,2FA Issue,How do I delete my account permanently?,Account Management,High,2025-07-11 06:32:07.454948
646,API Error,Integration with Zapier is failing.,Technical Issue,High,2025-08-03 01:31:07.454948
647,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Critical,2025-08-10 03:22:07.454948
648,Connection Failed,Integration with Zapier is failing.,Technical Issue,High,2025-04-09 06:10:07.454948
649,Connection Failed,Integration with Zapier is failing.,Technical Issue,High,2025-04-15 10:57:07.454948
650,Feature Broken,The screen goes blank when I open settings.,Bug Report,Medium,2025-07-02 07:19:07.454948
651,New Feature Suggestion,I suggest improving the onboarding for better usability.,Feature Request,Low,2025-07-20 00:49:07.454948
652,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,High,2025-07-12 22:37:07.454948
653,Double Charge,Refund request for unused service period.,Billing Inquiry,Critical,2025-04-19 11:47:07.454948
654,App Crash,The screen goes blank when I open settings.,Bug Report,Medium,2025-06-07 15:15:07.454948
655,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Low,2025-05-26 23:36:07.454948
656,Password Reset,How do I delete my account permanently?,Account Management,High,2025-05-26 20:14:07.454948
657,Slow Performance,SSL certificate error on your domain.,Technical Issue,Medium,2025-09-03 16:14:07.454948
658,App Crash,Login fails even with correct credentials.,Bug Report,Critical,2025-04-10 07:33:07.454948
659,API Error,I can't connect to the database despite correct settings.,Technical Issue,Low,2025-08-18 05:43:07.454948
660,Password Reset,How do I delete my account permanently?,Account Management,High,2025-07-07 06:08:07.454948
661,New Feature Suggestion,Can you add notifications to the dashboard?,Feature Request,High,2025-09-20 08:03:07.454948
662,App Crash,The search is not working after the latest update.,Bug Report,High,2025-05-31 15:39:07.454948
663,Password Reset,My account is locked without reason.,Account Management,High,2025-04-03 22:55:07.454948
664,App Crash,Error message '404' appears when I try to reset password.,Bug Report,High,2025-09-19 04:54:07.454948
665,New Feature Suggestion,It would be great if we could sync data.,Feature Request,Medium,2025-05-21 11:42:07.454948
666,Invoice Question,Billing cycle date seems incorrect.,Billing Inquiry,Medium,2025-04-13 05:26:07.454948
667,Double Charge,Refund request for unused service period.,Billing Inquiry,Medium,2025-05-05 13:38:07.454948
668,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Low,2025-04-13 11:18:07.454948
669,Password Reset,Email not updating in profile settings.,Account Management,High,2025-05-09 16:40:07.454948
670,UX Improvement,Add export to PDF functionality.,Feature Request,Medium,2025-09-16 23:47:07.454948
671,2FA Issue,Two-factor authentication not working.,Account Management,High,2025-09-24 23:43:07.454948
672,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,High,2025-05-28 19:34:07.454948
673,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-09-05 07:59:07.454948
674,Invoice Question,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-06-12 06:22:07.454948
675,Slow Performance,I can't connect to the database despite correct settings.,Technical Issue,Critical,2025-06-14 03:42:07.454948
676,Login Error,The search is not working after the latest update.,Bug Report,High,2025-09-01 05:50:07.454948
677,API Error,SSL certificate error on your domain.,Technical Issue,High,2025-04-02 04:08:07.454948
678,Login Error,App crashes when I click on Save.,Bug Report,High,2025-05-04 23:47:07.454948
679,App Crash,Login fails even with correct credentials.,Bug Report,Medium,2025-06-26 06:02:07.454948
680,New Feature Suggestion,Can you add notifications to the dashboard?,Feature Request,High,2025-05-26 00:36:07.454948
681,Refund Request,I was charged twice for my subscription.,Billing Inquiry,High,2025-07-02 03:18:07.454948
682,App Crash,The screen goes blank when I open dashboard.,Bug Report,Critical,2025-04-06 03:38:07.454948
683,New Feature Suggestion,Can you add export to the dashboard?,Feature Request,High,2025-07-27 01:08:07.454948
684,App Crash,The dark mode is not working after the latest update.,Bug Report,Medium,2025-08-23 02:58:07.454948
685,Login Error,The dark mode is not working after the latest update.,Bug Report,Medium,2025-04-22 13:12:07.454948
686,UX Improvement,I suggest improving the checkout for better usability.,Feature Request,High,2025-04-02 00:14:07.454948
687,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Medium,2025-04-16 20:46:07.454948
688,Feature Broken,App crashes when I click on Submit.,Bug Report,High,2025-08-07 17:05:07.454948
689,Account Locked,Two-factor authentication not working.,Account Management,High,2025-09-15 17:27:07.454948
690,Login Error,App crashes when I click on Submit.,Bug Report,Critical,2025-08-22 09:19:07.454948
691,UX Improvement,It would be great if we could sync data.,Feature Request,High,2025-04-20 20:00:07.454948
692,Refund Request,Billing cycle date seems incorrect.,Billing Inquiry,Critical,2025-08-31 05:50:07.454948
693,Feature Broken,Login fails even with correct credentials.,Bug Report,Critical,2025-09-04 18:58:07.454948
694,Slow Performance,Integration with Slack is failing.,Technical Issue,Medium,2025-08-13 08:53:07.454948
695,Slow Performance,SSL certificate error on your domain.,Technical Issue,Critical,2025-05-29 17:41:07.454948
696,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,Critical,2025-07-23 16:54:07.454948
697,Double Charge,Refund request for unused service period.,Billing Inquiry,Critical,2025-04-26 09:00:07.454948
698,Slow Performance,API returns 500 error when calling /api/users.,Technical Issue,Critical,2025-08-03 03:46:07.454948
699,Invoice Question,Refund request for unused service period.,Billing Inquiry,High,2025-05-25 14:19:07.454948
700,Slow Performance,Integration with Google Workspace is failing.,Technical Issue,High,2025-09-06 00:48:07.454948
701,UX Improvement,It would be great if we could upload file.,Feature Request,Low,2025-04-28 18:55:07.454948
702,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,High,2025-05-02 15:48:07.454948
703,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,Critical,2025-08-21 16:57:07.454948
704,UX Improvement,It would be great if we could upload file.,Feature Request,Medium,2025-08-25 03:05:07.454948
705,App Crash,Login fails even with correct credentials.,Bug Report,High,2025-05-26 14:59:07.454948
706,Connection Failed,API returns 500 error when calling /api/payments.,Technical Issue,Medium,2025-06-06 06:49:07.454948
707,New Feature Suggestion,It would be great if we could reset password.,Feature Request,Low,2025-09-23 14:44:07.454948
708,App Crash,The dark mode is not working after the latest update.,Bug Report,Medium,2025-07-15 10:24:07.454948
709,New Feature Suggestion,Add export to PDF functionality.,Feature Request,High,2025-09-15 15:58:07.454948
710,API Error,SSL certificate error on your domain.,Technical Issue,Critical,2025-08-19 16:23:07.454948
711,Invoice Question,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-05-26 03:03:07.454948
712,UX Improvement,I suggest improving the user management for better usability.,Feature Request,Medium,2025-08-03 06:35:07.454948
713,Invoice Question,Billing cycle date seems incorrect.,Billing Inquiry,Critical,2025-04-23 17:25:07.454948
714,API Error,SSL certificate error on your domain.,Technical Issue,Critical,2025-04-10 12:18:07.454948
715,Double Charge,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-06-21 23:09:07.454948
716,Account Locked,Email not updating in profile settings.,Account Management,Critical,2025-09-22 16:31:07.454948
717,New Feature Suggestion,Can you add search to the dashboard?,Feature Request,High,2025-04-10 10:05:07.454948
718,Login Error,Login fails even with correct credentials.,Bug Report,Critical,2025-07-09 03:16:07.454948
719,Connection Failed,I can't connect to the database despite correct settings.,Technical Issue,Medium,2025-09-02 05:22:07.454948
720,New Feature Suggestion,It would be great if we could upload file.,Feature Request,High,2025-09-22 02:39:07.454948
721,Connection Failed,API returns 500 error when calling /api/payments.,Technical Issue,Critical,2025-04-04 09:38:07.454948
722,UX Improvement,Can you add dark mode to the dashboard?,Feature Request,Medium,2025-09-01 00:10:07.454948
723,Password Reset,Email not updating in profile settings.,Account Management,High,2025-06-30 12:25:07.454948
724,Password Reset,I can't reset my password.,Account Management,Critical,2025-04-07 09:09:07.454948
725,Connection Failed,Server response time is too slow for data export.,Technical Issue,Medium,2025-05-27 09:30:07.454948
726,Login Error,Error message 'Timeout' appears when I try to reset password.,Bug Report,High,2025-04-23 17:06:07.454948
727,Feature Broken,Login fails even with correct credentials.,Bug Report,Critical,2025-04-11 06:54:07.454948
728,API Error,API returns 500 error when calling /api/users.,Technical Issue,Low,2025-05-01 15:03:07.454948
729,Account Locked,My account is locked without reason.,Account Management,High,2025-05-01 13:05:07.454948
730,New Feature Suggestion,Can you add export to the dashboard?,Feature Request,High,2025-04-24 17:44:07.454948
731,Slow Performance,API returns 500 error when calling /api/users.,Technical Issue,Critical,2025-06-21 02:20:07.454948
732,Double Charge,Billing cycle date seems incorrect.,Billing Inquiry,High,2025-08-30 08:50:07.454948
733,Login Error,Error message '404' appears when I try to upload file.,Bug Report,Medium,2025-05-19 12:35:07.454948
734,Slow Performance,Integration with Google Workspace is failing.,Technical Issue,Critical,2025-09-15 20:15:07.454948
735,Feature Broken,Login fails even with correct credentials.,Bug Report,High,2025-05-22 11:23:07.454948
736,2FA Issue,Email not updating in profile settings.,Account Management,High,2025-07-05 05:41:07.454948
737,App Crash,Login fails even with correct credentials.,Bug Report,Low,2025-06-15 00:42:07.454948
738,New Feature Suggestion,Add export to PDF functionality.,Feature Request,Medium,2025-04-25 18:00:07.454948
739,Login Error,App crashes when I click on Save.,Bug Report,High,2025-06-04 20:42:07.454948
740,2FA Issue,How do I delete my account permanently?,Account Management,High,2025-06-30 22:46:07.454948
741,UX Improvement,Add export to PDF functionality.,Feature Request,Medium,2025-04-24 15:43:07.454948
742,Double Charge,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-09-20 22:03:07.454948
743,2FA Issue,I can't reset my password.,Account Management,Critical,2025-08-22 15:53:07.454948
744,Refund Request,I was charged twice for my subscription.,Billing Inquiry,Medium,2025-09-16 16:30:07.454948
745,App Crash,Error message 'Timeout' appears when I try to reset password.,Bug Report,Medium,2025-08-18 22:23:07.454948
746,Invoice Question,Refund request for unused service period.,Billing Inquiry,High,2025-08-21 00:12:07.454948
747,Login Error,App crashes when I click on Save.,Bug Report,High,2025-09-21 16:56:07.454948
748,Account Locked,How do I delete my account permanently?,Account Management,High,2025-09-10 12:53:07.454948
749,2FA Issue,My account is locked without reason.,Account Management,Critical,2025-06-01 16:29:07.454948
750,Double Charge,Refund request for unused service period.,Billing Inquiry,Medium,2025-07-17 13:02:07.454948
751,New Feature Suggestion,I suggest improving the onboarding for better usability.,Feature Request,Medium,2025-07-24 14:16:07.454948
752,Feature Broken,Error message '404' appears when I try to upload file.,Bug Report,Medium,2025-06-25 21:28:07.454948
753,Connection Failed,Server response time is too slow for data export.,Technical Issue,Medium,2025-05-18 07:28:07.454948
754,New Feature Suggestion,I suggest improving the reporting for better usability.,Feature Request,High,2025-05-06 19:40:07.454948
755,2FA Issue,How do I delete my account permanently?,Account Management,Medium,2025-04-07 16:58:07.454948
756,API Error,SSL certificate error on your domain.,Technical Issue,Critical,2025-06-28 18:19:07.454948
757,Slow Performance,API returns 500 error when calling /api/users.,Technical Issue,Medium,2025-07-21 23:13:07.454948
758,Password Reset,Two-factor authentication not working.,Account Management,High,2025-08-20 06:58:07.454948
759,Refund Request,My invoice doesn't match the plan I selected.,Billing Inquiry,High,2025-06-21 10:36:07.454948
760,New Feature Suggestion,It would be great if we could reset password.,Feature Request,High,2025-06-04 22:16:07.454948
761,Slow Performance,Integration with Google Workspace is failing.,Technical Issue,High,2025-04-11 12:56:07.454948
762,New Feature Suggestion,I suggest improving the checkout for better usability.,Feature Request,Medium,2025-07-06 16:00:07.454948
763,2FA Issue,I can't reset my password.,Account Management,Medium,2025-06-24 07:10:07.454948
764,Double Charge,I was charged twice for my subscription.,Billing Inquiry,Critical,2025-07-03 07:26:07.454948
765,Slow Performance,SSL certificate error on your domain.,Technical Issue,Medium,2025-09-21 02:41:07.454948
766,New Feature Suggestion,I suggest improving the reporting for better usability.,Feature Request,High,2025-07-22 19:01:07.454948
767,Connection Failed,SSL certificate error on your domain.,Technical Issue,High,2025-08-25 08:06:07.454948
768,Feature Broken,Error message 'Connection lost' appears when I try to reset password.,Bug Report,High,2025-05-15 01:54:07.454948
769,Password Reset,My account is locked without reason.,Account Management,Medium,2025-04-26 17:22:07.454948
770,Invoice Question,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-04-01 16:07:07.454948
771,Feature Broken,Error message '404' appears when I try to log in.,Bug Report,High,2025-04-10 18:19:07.454948
772,New Feature Suggestion,Can you add search to the dashboard?,Feature Request,Low,2025-08-29 10:08:07.454948
773,UX Improvement,I suggest improving the user management for better usability.,Feature Request,Low,2025-04-16 07:40:07.454948
774,UX Improvement,Can you add notifications to the dashboard?,Feature Request,High,2025-05-08 18:43:07.454948
775,Account Locked,How do I delete my account permanently?,Account Management,Medium,2025-08-26 09:37:07.454948
776,Account Locked,My account is locked without reason.,Account Management,Low,2025-09-24 22:08:07.454948
777,UX Improvement,I suggest improving the user management for better usability.,Feature Request,Medium,2025-06-24 19:54:07.454948
778,UX Improvement,Add export to PDF functionality.,Feature Request,High,2025-09-13 07:41:07.454948
779,Slow Performance,API returns 500 error when calling /api/users.,Technical Issue,High,2025-09-23 16:09:07.454948
780,API Error,Server response time is too slow for file upload.,Technical Issue,Medium,2025-08-18 22:10:07.454948
781,API Error,Server response time is too slow for file upload.,Technical Issue,High,2025-07-12 02:58:07.454948
782,Refund Request,How do I upgrade my billing plan?,Billing Inquiry,Medium,2025-05-04 17:50:07.454948
783,API Error,API returns 500 error when calling /api/payments.,Technical Issue,Medium,2025-09-22 14:39:07.454948
784,App Crash,The screen goes blank when I open profile.,Bug Report,Medium,2025-07-12 17:47:07.454948
785,UX Improvement,Can you add export to the dashboard?,Feature Request,Critical,2025-06-09 09:11:07.454948
786,Login Error,App crashes when I click on Save.,Bug Report,High,2025-06-24 21:18:07.454948
787,API Error,Server response time is too slow for search query.,Technical Issue,Critical,2025-08-01 07:22:07.454948
